n_models,n_tasks,elapsed_lomo,elapsed_lasomo,plan
40,4,0.358,NA,multisession
41,4,0.324,NA,multisession
42,4,0.408,NA,multisession
43,4,0.391,NA,multisession
44,4,0.339,NA,multisession
45,4,0.364,NA,multisession
46,4,0.347,NA,multisession
47,4,0.372,NA,multisession
48,4,0.371,NA,multisession
49,4,0.378,NA,multisession
50,4,0.372,NA,multisession
51,4,0.429,NA,multisession
52,4,0.589,NA,multisession
53,4,0.392,NA,multisession
54,4,0.438,NA,multisession
55,4,0.436,NA,multisession
56,4,0.54,NA,multisession
57,4,0.448,NA,multisession
58,4,0.405,NA,multisession
59,4,0.433,NA,multisession
60,4,0.441,NA,multisession
61,4,0.522,NA,multisession
62,4,0.45,NA,multisession
63,4,0.502,NA,multisession
64,4,0.528,NA,multisession
65,4,0.499,NA,multisession
66,4,0.484,NA,multisession
67,4,0.514,NA,multisession
68,4,0.524,NA,multisession
69,4,0.489,NA,multisession
70,4,0.505,NA,multisession
71,4,0.495,NA,multisession
72,4,0.502,NA,multisession
73,4,0.509,NA,multisession
74,4,0.558,NA,multisession
75,4,0.515,NA,multisession
76,4,0.613,NA,multisession
77,4,0.638,NA,multisession
78,4,0.638,NA,multisession
79,4,0.597,NA,multisession
80,4,0.605,NA,multisession
81,4,0.604,NA,multisession
82,4,0.578,NA,multisession
83,4,0.751,NA,multisession
84,4,0.604,NA,multisession
85,4,0.573,NA,multisession
86,4,0.587,NA,multisession
87,4,0.605,NA,multisession
88,4,0.645,NA,multisession
89,4,0.596,NA,multisession
90,4,0.66,NA,multisession
91,4,0.63,NA,multisession
92,4,0.685,NA,multisession
93,4,0.635,NA,multisession
94,4,0.637,NA,multisession
95,4,0.644,NA,multisession
96,4,0.725,NA,multisession
97,4,0.667,NA,multisession
98,4,0.643,NA,multisession
99,4,0.669,NA,multisession
100,4,0.738,NA,multisession
11,5,0.255,NA,multisession
12,5,0.253,NA,multisession
13,5,0.317,NA,multisession
14,5,0.278,NA,multisession
15,5,0.297,NA,multisession
16,5,0.294,NA,multisession
17,5,0.333,NA,multisession
18,5,0.328,NA,multisession
19,5,0.35,NA,multisession
20,5,0.346,NA,multisession
21,5,0.376,NA,multisession
22,5,0.363,NA,multisession
23,5,0.4,NA,multisession
24,5,0.39,NA,multisession
25,5,0.412,NA,multisession
26,5,0.443,NA,multisession
27,5,0.458,NA,multisession
28,5,0.434,NA,multisession
29,5,0.483,NA,multisession
30,5,0.478,NA,multisession
31,5,0.561,NA,multisession
32,5,0.462,NA,multisession
